# Extracted from Russian Wiktionary/Kaikki; review before redistribution.
боголѣпьнъ	прекрасный	
богомили	еретики секты богомила	
богомолиꙗ	монастырь	
богомольць	поклонник истинного Бога	
богомрьꙁъкъ	враждебный богу	
богомѫдростьнъ	мудрый как бог	
богомꙋдрꙑи	Богом умудрённый	
богонабъдимꙑи	охраняемый Богом	
богонаписаньнꙑи	написанный Богом	
богонаѹчєнъ	внушенный богом	
богоносивъ	носящий в себе бога	
богоносьнъ	носящий в себе бога	
богоносьць	носящий в себе Бога	
богоносьць	богоносец	
богонєвѣста	невеста бога	
богоотьць	наименование царя Давида	
богопорꙋчити	поручить свяше	
богопоꙁнаниѥ	познание бога	
богоприѥмьць	богоприимец	
богородица	Богородица	
богородица	богородица	
богорожаница	богородительница	
богорожьство	родословие богов	
богосварьникъ	богоборец	
богосварьнъ	богоборческий	
богословити	славить Бога	
богословити	восхвалять бога	
богословлѥниѥ	вероучение	
богословлꙗти	славить Бога	
богословскій	богословский	
